text,label,label_text
does the fee for exchange change?,17,card_payment_wrong_exchange_rate
i topped up and now my money is not there anymore! what happened to it?,61,top_up_reverted
my money i had was gone and i could not get gas!,62,topping_up_by_card
what other currencies are available to change to?,33,exchange_via_app
how can i report that my card was stolen? i made a police report first.,41,lost_or_stolen_card
my top up may have been reverted,61,top_up_reverted
can i receive transfers from my employer this way?,50,receiving_money
"i got some cash at an atm earlier, but now app is showing that i withdrew more than i did. help!",75,wrong_amount_of_cash_received
need help to get my card to work.,14,card_not_working
why was i charged $1 in a transaction?,34,extra_charge_on_statement
"i received my new card and tried using it today, just to have it show declined over and over again. why is this happening?",25,declined_card_payment
"i didn't want to make a transaction, i want to revert it",8,cancel_transfer
is there a way to set up an auto top-up?,4,automatic_top_up
i need to know where do my funds come from,70,verify_source_of_funds
i just had my card get declined at the atm! i need to get money out but i am unable to. why has this happened?,26,declined_cash_withdrawal
do i have to pay for a physical card?,43,order_physical_card
i bought something in another country but the exchange rate is wrong,17,card_payment_wrong_exchange_rate
i need to cancel a purchase?,52,request_refund
i entered in the wrong pin. please help me unlock my account.,49,pin_blocked
what is your check-cashing policy?,58,top_up_by_cash_or_cheque
i am seeing a direct debit i wasn't aware of.,28,direct_debit_payment_not_recognised
what age do you have to be?,1,age_limit
i will be traveling. can i add money automatically?,4,automatic_top_up
is there a daily auto top-up limit?,4,automatic_top_up
can i use my virtual card for recurring monthly payments?,72,virtual_card_not_working
i can't remember my passcode.,44,passcode_forgotten
what fiat currencies can i use for holding and exchanging?,36,fiat_currency_support
can you tell me why i can't make any transactions?,14,card_not_working
"i recently reported my card as missing/lost, and i just found it. can i still use it?",13,card_linking
when i topped up the app has seemed to reverted it.,61,top_up_reverted
how do i initiated a bank transfer to top up?,65,transfer_into_account
there was a strange transaction made on my account a couple weeks ago by a seller i don't recognize. may you please check on this transaction for me.,28,direct_debit_payment_not_recognised
"i may no longer need gbp, but instead i will need aud, how can i go about making this change?",33,exchange_via_app
how often am i able to top-up?,60,top_up_limits
what do i use to verify my identity?,69,verify_my_identity
how long will a transaction to a friend take?,66,transfer_not_received_by_recipient
i want a refund on the things i bought,52,request_refund
my card payment failed.,25,declined_card_payment
why did my credit card get declined for top up?,59,top_up_failed
i am inquiring about your auto top up feature.,4,automatic_top_up
"my transfer was declined, why is that?",27,declined_transfer
i entered a typo when i was transferring money and now i've sent it to an incorrect account. this is so bad! i need it cancelled now.,8,cancel_transfer
can i change my pin at a cash machine?,21,change_pin
can i possibly change my currency to another?,33,exchange_via_app
why is my transfer not showing,5,balance_not_updated_after_bank_transfer
"i made a transfer and the receiver did not get the right amount its lesser than what it should be,now i have to transfer more money to make up for the missing amount . can you please help me about this, what should be done",64,transfer_fee_charged
what is the estimated wait time on a us transfer into my account?,67,transfer_timing
"i'm trying to verify my top-up card, but i can't find the code...?",71,verify_top_up
which atms accept this bill of fare ?,3,atm_support
i noticed a duplicate charge on my statement.,63,transaction_charged_twice
help me create several temp cards every day.,29,disposable_card_limits
why cant i send money to a beneficiary?,7,beneficiary_not_allowed
i am still waiting for a money transfer to appear.,48,pending_transfer
how many years old do i have to be?,1,age_limit
what are the steps to get my card back that was kept by the atm?,18,card_swallowed
is there a charge for using transfers for top ups?,56,top_up_by_bank_transfer_charge
"atms, which ones will accept this card?",3,atm_support
"suddenly, my card won't work.",14,card_not_working
how do i find the pin?,38,get_physical_card
can i get money in my home currency at my atm ?i am on holiday and bit concerned because i do not have any cash with me .is it possible to withdraw without any additional cost.,76,wrong_exchange_rate_for_cash_withdrawal
i am trying to complete a transfer but i keep getting an error message.,7,beneficiary_not_allowed
how do i delete an account?,55,terminate_account
"i found the card that i thought i lost, and i would like to reactivate it.",13,card_linking
how can i transfer money using my credit card?,62,topping_up_by_card
i need help with some transactions in my account that i dont recognize or remember purchasing. im not sure if the name is just different or what. should my card be put on hold while the issue gets figured out to be safe or is it ok?,16,card_payment_not_recognised
i'm worried my card might be lost in the mail? how long does it usually take to arrive?,12,card_delivery_estimate
could i get tracking on the card?,11,card_arrival
how long am i to wait before the transfer gets to my account?,67,transfer_timing
is there a limit for age?,1,age_limit
where is the nearest mastercard atm?,3,atm_support
"the atm would not give me cash,why?",26,declined_cash_withdrawal
i am not in the uk can i get a card?,24,country_support
"hi, i sent my landlord my rent money a few days ago and while everything seems good on my end he says that he never got the money. i double checked the account number and it's correct. can you help me figure this out?",66,transfer_not_received_by_recipient
how many transactions can be made with a disposable card?,29,disposable_card_limits
do you have any card fees if i want to add money using an international card?,57,top_up_by_card_charge
"hello, i wanted to get some more information about atm withdraw fee. i have been withdrawing money for years and notice this charge on my account. i always thought it was no fee since its you guys atm company that i am withdrawing. can you please explain?",19,cash_withdrawal_charge
waiting for the cash i deposited this morning still,6,balance_not_updated_after_cheque_or_cash_deposit
do i need to pay more for exchanging currencies?,31,exchange_charge
how do i change my last name?,30,edit_personal_details
why is my identification required?,74,why_verify_identity
how can i check to see where my funds come from?,70,verify_source_of_funds
how do i get a pin?,38,get_physical_card
i saw a fee on my app from one of my payments and i wasn't sure where it came from. is there a way you can tell me when there's an additional fee for my payments?,15,card_payment_fee_charged
why hasnt my top up gone through yet?? i thought it was suppose to be instant? am i wrong? why is it still pending?,47,pending_top_up
how can i create another card linked to this account?,39,getting_spare_card
can i get a visa from you?,73,visa_or_mastercard
why is my transfer taking so long to complete?,66,transfer_not_received_by_recipient
